sentence,sentiment_label,sentiment_score
Is there a reason my new card hasn't arrived yet?,1 star,0.3221994936466217
"I've been waiting a while for my card, is there a way to know when it will arrive?",3 stars,0.34764859080314636
How can I track my card's delivery?,5 stars,0.2818238139152527
Can I track the card that was just sent to me?,1 star,0.3300493061542511
"If I ordered my new card last week, how much longer should I wait to receive it?",2 stars,0.3019510507583618
"What's go on, where is my new card?",5 stars,0.28605198860168457
Where is my new card if I haven't received it yet?,1 star,0.33939969539642334
Where is my card?,1 star,0.33478739857673645
Can you tell me why I haven't received my new card yet?,1 star,0.3162466585636139
Is there a way to track my card?,3 stars,0.28372257947921753
Is there a way to track the new card you sent me?,1 star,0.2568322718143463
I'm still waiting for my card.,3 stars,0.3299987018108368
What do I need to do to get my new card which I have requested 2 weeks ago?,5 stars,0.23552213609218597
WHAT IS THE SOLUTION OF THIS PROBLEM,5 stars,0.33806112408638
Could I get tracking on the card?,1 star,0.2758917808532715
Can you help me track my card?,5 stars,0.30102548003196716
Shouldn't my new card be here by now?,1 star,0.3045251965522766
Is there a reason my new card hasn't arrived?,1 star,0.4530825614929199
"I would like to track a card sent to me, how do I do that?",3 stars,0.3235810101032257
Is there a tracking number for the card?,3 stars,0.3186815679073334
can you share card tracking number?,3 stars,0.2796936333179474
"I have not received my card and it's been a week, what do I do?",1 star,0.5890214443206787
Is there a way I can check on the card on route to me?,3 stars,0.2984192669391632
When will my new card arrive?,1 star,0.26748403906822205
Why haven't I received my new card yet?,1 star,0.38702914118766785
What is the expected delivery date of my card?,3 stars,0.3222239017486572
My card hasn't came in the mail yet?,1 star,0.3774961531162262
I haven't received my card.,1 star,0.5167651772499084
Is it possible for me to track the card is was mailed to me?,1 star,0.3010345697402954
When will my new card be delivered?,1 star,0.27619558572769165
I was issued a card about a week ago. why hasn't it come in yet?,1 star,0.4717385172843933
Can you please tell me where my card is? I ordered it 2 weeks ago!,1 star,0.4825359284877777
I still haven't received my card in the mail,1 star,0.4371684193611145
I'm still waiting for my card that was issued a week ago. What should I do?,1 star,0.2883271276950836
I still haven't gotten my new card.  When will it get here?,1 star,0.29242485761642456
Do you have a tracking number for the card I was sent?,1 star,0.3314342796802521
How do I track the card you sent to me?,5 stars,0.3108011782169342
Is my new bank card on the way and is there a way to track it?,3 stars,0.3156702220439911
Could you send me and up date on the arrival of my card?,1 star,0.37684905529022217
How long does it take to recieve my new card?,5 stars,0.33058810234069824
My card has not come in the mail yet.,1 star,0.4518525302410126
What's the card you sent me's tracking number?,1 star,0.3820662796497345
i havent got my card,5 stars,0.25696539878845215
Why hasn't my card arrived yet?,1 star,0.48853784799575806
I thought I would have received my new card at this point.,3 stars,0.32990938425064087
How long until my new card gets here?,3 stars,0.22119256854057312
How much longer until I get my new card?,2 stars,0.312720388174057
Am I able to track a card that has already been sent?,3 stars,0.2691292464733124
Is it possible to track the card you sent me?,3 stars,0.30519136786460876
How long will it be to get this new card?,5 stars,0.3467945456504822
how can i track card you sent,5 stars,0.41564059257507324
Can the card was sen to me be tracked?,3 stars,0.2965637743473053
why have i not got my new card?,1 star,0.45476919412612915
I need to track the card sent to me.,3 stars,0.3308294117450714
"It's been two weeks and I haven't gotten my card, what do I do?",1 star,0.4664691984653473
I was expecting my new card by now.,3 stars,0.40284284949302673
Where is the tracking number for the card?,1 star,0.2944590747356415
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,1 star,0.3693172037601471
Can I track the card that you sent me in the mail?,1 star,0.31578806042671204
Can you tell me if I can track the card you sent me?,1 star,0.26887083053588867
Why have I not gotten my new card?,1 star,0.5240379571914673
I'm still waiting on my new card to be delivered!,5 stars,0.442032128572464
My new card isn't here and it was issued a week ago.,1 star,0.5689868927001953
"I was supposed to receive my new card by now, but it hasn't came in.",2 stars,0.3548276126384735
Is a tracking number available for the card that was just sent?,1 star,0.3100346326828003
Why haven't I gotten my new card?,1 star,0.31225091218948364
Was there a number to track that I could get?,3 stars,0.3673872947692871
How much longer is it going to take to get my new card?,2 stars,0.28712522983551025
I haven't gotten my credit card in the mail.,1 star,0.4603329002857208
My card hasn't arrived yet. What do I do?,1 star,0.26724889874458313
"My card still hasn't arrived after two weeks, now what?",1 star,0.4947580099105835
My card appears to have never arrived?,1 star,0.6565569639205933
My card never arrived.,1 star,0.769887387752533
My card has been found. Is there any way for me to put it back into the app?,1 star,0.38069790601730347
I was able to find my card. How to I go about putting it into my app?,4 stars,0.38012272119522095
how do I get my card to show in the app?,5 stars,0.2630758285522461
I just got my card.  It's not linked yet--how do I do that?,1 star,0.440898597240448
"lost card found, want to put it back in app",1 star,0.5346649289131165
"I just got a card, how can I add it to the app?",3 stars,0.26436734199523926
Is there any way to see my card in the app?,1 star,0.393932044506073
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,1 star,0.30240315198898315
I found my card. How can I put it into my app?,5 stars,0.3146897554397583
How do I make my card show up in the app?,5 stars,0.2611832618713379
Can you show me where to link the new card?,3 stars,0.23973238468170166
I found my old card. Can I link it back into the app?,3 stars,0.22433778643608093
"Show me how to link the new card,",5 stars,0.5588098764419556
How do I add an existing card to the app?,3 stars,0.26018840074539185
I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,5 stars,0.39580604434013367
How do I link one of your card that I already have?,5 stars,0.22530905902385712
If I have a physical card can I link it?,3 stars,0.3053908944129944
I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,3 stars,0.27256378531455994
Can I add a card that I just found (again) to the app?,3 stars,0.2884317636489868
How can I make my card show up in the app?,5 stars,0.25175151228904724
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",4 stars,0.41801074147224426
"Okay, I found my card, can I put it back in the app?",3 stars,0.7435402274131775
Can I reactivate a card?,1 star,0.3122038245201111
I would like to reactivate a card and wondered if that could be done?,2 stars,0.3528258204460144
"I got my card now, how do I make it show up in the app?",5 stars,0.3331911265850067
How do I link an existing card?,3 stars,0.2231922596693039
How do I link a new card in the app?,5 stars,0.2718620002269745
"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",3 stars,0.2786845266819
I already have a card and want to link it,5 stars,0.3025391399860382
Can you please reactivate my card?,1 star,0.4329099953174591
Where do I go to add a new card?,1 star,0.27123379707336426
I want my card I just received to show up in the app. How do I do that?,5 stars,0.3046095073223114
"I received my card, how do I get it to show in the app?",1 star,0.24449016153812408
If I have a credit card with you how I get set up to link to it?,3 stars,0.2706499397754669
How do I add my new card?,5 stars,0.4924705922603607
"I want to reactivate my card, I thought I had lost it but found it again this morning.",4 stars,0.4196166694164276
"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",2 stars,0.2841032147407532
My card is no longer lost. How do I enter it back into the app?,5 stars,0.25769782066345215
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",4 stars,0.4220377802848816
"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",4 stars,0.4172554612159729
How do I reactivate a card I thought I lost?,1 star,0.23976631462574005
Help me figure out how to link the new card.,5 stars,0.453045129776001
I found my lost card. Am I still able to use it?,3 stars,0.2642728090286255
Will I need a new card or can I put my old card back into the app?,1 star,0.2833779454231262
Is there a way to link the card i just got?,3 stars,0.3106805384159088
How do I add a new card?,5 stars,0.3610226511955261
"I want to reactivate my card, I found it after thinking it was lost.",3 stars,0.3391733765602112
Can I put my old card back in the app?,1 star,0.35221999883651733
"I got a new card, how do I link it?",5 stars,0.33814433217048645
I found the card I thought I lost this morning. Can I reactivate this card?,1 star,0.34436923265457153
How do i go about linking a new card?,5 stars,0.24724309146404266
how do i get the card linked,5 stars,0.4049208462238312
"I have one of your cards, but I don't know how to link it.",3 stars,0.48650702834129333
how do I link an old card?,5 stars,0.2745212912559509
I received my card. How do I link it to the app?,1 star,0.27559515833854675
"Now that I have my card, how do I connect it to the app?",5 stars,0.24042998254299164
How do I add the card I just received to show up in the app?,3 stars,0.24596494436264038
"I want to reactivate my card, I thought I had lost it but I found it.",4 stars,0.4149724841117859
What do I need to do to link my new card for my account?,5 stars,0.34621161222457886
Can I add a card to back into the app?,1 star,0.27915146946907043
I want to link my new card. Can you help?,5 stars,0.4217468798160553
What is the process to link the new card?,3 stars,0.26366132497787476
"I found my card, am I able to put it back into the app?",3 stars,0.2649468183517456
"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",1 star,0.4829045236110687
Where can I link a new card?,1 star,0.25187787413597107
How do I add a card on to the app?,3 stars,0.25024306774139404
"I found my card in my jacket this morning, so can I reactivate it?",3 stars,0.2272244393825531
"I've obtained the card, how do I enable it on the app?",3 stars,0.25331753492355347
I need to find the card I received in the app.,3 stars,0.3056776225566864
How do I get my card on the app?,5 stars,0.22934935986995697
"In the app, how can I make it show the new card that arrived?",5 stars,0.2999759912490845
How do I link my new card?,5 stars,0.4341564178466797
Can I activate a card in the app?,1 star,0.27492693066596985
"I want to link to my card card with you, how?",3 stars,0.25963303446769714
I would like to link my card to my account.,3 stars,0.35999685525894165
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",4 stars,0.38508668541908264
How can I link the new card?,5 stars,0.3285180330276489
I got a new card and can't find where to link it.,2 stars,0.3370136320590973
"Hey, I have my card, how do I get it to show in the app?",5 stars,0.29740846157073975
Where in the app do I go to make my new card show up?,3 stars,0.24897857010364532
Where do I scan my card?,1 star,0.3586154580116272
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,1 star,0.5293152928352356
Can I link my card I previously received?,1 star,0.267074316740036
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",4 stars,0.40096351504325867
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",2 stars,0.3831012547016144
You sent me a card and now I want to link it.,5 stars,0.39512044191360474
How do I add my new card to the app?,5 stars,0.36439523100852966
Can I add a card back to the app?,1 star,0.27631470561027527
What if I want to add a card I already have to the app?,3 stars,0.28919950127601624
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",3 stars,0.24843209981918335
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",3 stars,0.3654536306858063
Is there a way to link cards if I have one of yours?,3 stars,0.3110479414463043
If my card was lost or stolen can I re-link it?,1 star,0.3770487904548645
How do I link a new card to an existing one?,5 stars,0.25293827056884766
How do I link a new payment card?,5 stars,0.32255107164382935
I would like to reactivate my card that I previously reported lost. I located the card this morning.,4 stars,0.34923651814460754
"Card has been received, how will it show up on the app?",3 stars,0.31306901574134827
Can I re-link a lost card with the app?,1 star,0.3477838337421417
What do I do to link my new card?,5 stars,0.43269121646881104
Is it possible to link a new card?,3 stars,0.3069290220737457
I deactivated my card but would like to reactivate it.,2 stars,0.3921828269958496
"I found my card that I thought I had lost, I need to reactive it, please help.",3 stars,0.37591683864593506
can I link a card of yours I already have?,3 stars,0.24057437479496002
Can I put my found card back into the app on my phone?,1 star,0.35811808705329895
"My card arrived but I need to make it work in the app, how do I do that?",3 stars,0.4037110507488251
"I found the card that I thought I lost, and I would like to reactivate it.",4 stars,0.373808890581131
I found my card again. Can I put it back into the app?,3 stars,0.25224819779396057
I need some help linking my new card.,3 stars,0.3727375566959381
help me link my card,5 stars,0.5641994476318359
How do I link my card in the app.,5 stars,0.5382890105247498
How do I get my card into the app?,1 star,0.22442036867141724
I found my card! Can I link it back into the app?,5 stars,0.26188570261001587
How do I reactivate my card?,1 star,0.24446333944797516
Where do I go to get my new card linked?,1 star,0.2898982763290405
"I thought I lost my card but I found it today, so I would like to reactivate it.",4 stars,0.41492849588394165
How do I link the new card that I just got from you guys?,5 stars,0.40145713090896606
How can I add a new card?,5 stars,0.3662318289279938
Can you tell me how to get my card on the app?,5 stars,0.2906695008277893
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,3 stars,0.3006179928779602
How do I make my card appear on the app?,3 stars,0.22430188953876495
How do I link the new card?,5 stars,0.3293280005455017
Where in the app do I link a new card?,1 star,0.2617839276790619
How do I add my card to the app once I get it?,3 stars,0.2398841828107834
Can I link your physical card,5 stars,0.30490997433662415
How do I activate and link my new card?,5 stars,0.5496631860733032
"I got a card, how do I get it in the app?",3 stars,0.2610490918159485
I received my new card.  Where is it in the app?,1 star,0.24671438336372375
"I found my card, how can I use it again?",5 stars,0.4504099190235138
"I just received a new card, where do I go to link it to my account?",1 star,0.35579559206962585
"found card, how to put it back in app",4 stars,0.27175432443618774
How do I see my card in the app?,3 stars,0.2295192927122116
"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",1 star,0.2707376778125763
I don't see my card anywhere in the app.,1 star,0.37535855174064636
"I received my card, how do I get it to work in the app?",3 stars,0.24691100418567657
What do I do if I already had a card with you guys?,1 star,0.24408619105815887
if i found a lost card can i put it back in app,3 stars,0.2798149883747101
I have a card that was deactivated can I reactivate it?,1 star,0.4977971017360687
"My new card isn't in my app, how do I get it in there?",1 star,0.3170759975910187
Help me access the card I already got so I can information from it.,5 stars,0.5212851762771606
What is my money worth in other countries?,1 star,0.3357563018798828
Will my money be of equal value when I travel abroad?,1 star,0.3593832850456238
Do you know the rate of exchange?,3 stars,0.3321790397167206
What foreign exchange rate will I get on weekdays and on the weekends?,1 star,0.3112214207649231
What is the exchange looking like?,3 stars,0.29415133595466614
How is the exchange rate doing?,3 stars,0.26105421781539917
I would like to know how exchange rates are calculated when transferring funds.,3 stars,0.41604170203208923
I would like to know what exchange rates you use?,3 stars,0.35914796590805054
"If I need to cash foreign transfers, how does that work?",1 star,0.3407753109931946
Do you know what your exchange rates are?,3 stars,0.2909766733646393
How do I know what exchange rate I will get?,5 stars,0.33799776434898376
What are you exchange rates?,3 stars,0.23363295197486877
Do you have the best exchange rate?,3 stars,0.24097783863544464
Where can I find your exchange rates?,3 stars,0.2480793297290802
Your exchange rates come from where?,1 star,0.27909666299819946
I need to know what your exchange rates are.,4 stars,0.2904617488384247
What's the process for exchanges?,3 stars,0.2941674292087555
What do you think of the exchange rate?,3 stars,0.26749104261398315
How are exchange rates calculated at this bank?,2 stars,0.27213212847709656
What do you use to figure out the exchange rate for the card?,4 stars,0.280224472284317
What's the foreign exchange rate I will receive?,1 star,0.2606183588504791
I need to know what foreign exchange rate I can get.,5 stars,0.27454492449760437
What are the current exchange rates?,3 stars,0.28869232535362244
What exchange rate will I receive?,3 stars,0.23706407845020294
What is the basis of your exchange rates?,3 stars,0.2959916591644287
How's the exchange rate?,3 stars,0.26807472109794617
How do you determine your exchange rates?,5 stars,0.2799204885959625
How do the foreign exchange rates work?,3 stars,0.27151572704315186
Where are you getting your exchange rates from?,1 star,0.2869507372379303
How is the exchange rate calculated?,3 stars,0.3089543581008911
I'm interested in what your exchange rates are based on.,4 stars,0.48602449893951416
How do you decide what the exchange rates are?,3 stars,0.27043095231056213
What is the current exchange rate?,3 stars,0.2974949777126312
What is the formula for your exchange rate?,3 stars,0.2831997573375702
What method do you use for the exchange rate?,3 stars,0.25804397463798523
What are Interbanks current exchange rates?,3 stars,0.31107059121131897
from where are coming your exchange rates?,1 star,0.2970416247844696
How do you calculate exchange rates?,5 stars,0.27668267488479614
Why is your exchange rate different on different days?,2 stars,0.3229547441005707
Where can I find the exchange rate for my transfer?,3 stars,0.2688981890678406
Where can I get your exchange rates from?,1 star,0.2427508533000946
How do you find the exchange rate?,3 stars,0.24136489629745483
How are exchange rates determined?,3 stars,0.2950119376182556
What value can I get for my currency?,5 stars,0.3946794271469116
Please explain your exchange rate policy.,5 stars,0.29950660467147827
What are your exchange rates calculated from?,3 stars,0.2669028341770172
What is an exchange rate?,1 star,0.24820628762245178
What is your opinion on the exchange rate?,3 stars,0.2927069365978241
What are the exchange rates you assign?,3 stars,0.26134201884269714
How do you determine exchange rates?,5 stars,0.26760783791542053
How are your exchange rates calculated?,3 stars,0.2546784579753876
How is an exchange rate calculated?,3 stars,0.2902916669845581
"When exchanging, how much are the rates?",3 stars,0.3796558380126953
What is the exchange rate for EUR?,1 star,0.3147520422935486
How can I find your exchange rates?,5 stars,0.2830538749694824
Could you please tell me your exchange rates?,3 stars,0.28654932975769043
Is there an exchange rate?,1 star,0.29875749349594116
How does the exchange rate work?,3 stars,0.280783087015152
What is the present state of the exchange rate?,3 stars,0.31374621391296387
How are foreign exchange rates determined?,3 stars,0.26786625385284424
How's the exchange rate looking right now?,3 stars,0.2827140986919403
Please explain the exchange rates.,3 stars,0.3297826051712036
What is the foreign exchange rate you will apply?,1 star,0.34891241788864136
explain the interbank exchange rate,4 stars,0.3996383249759674
What will my exchange rate be?,3 stars,0.26332220435142517
how do you get exchange rates,5 stars,0.3929072618484497
What exchange rates do you use?,5 stars,0.3112635016441345
How will I know what the exchange rate is?,3 stars,0.24848808348178864
What factors effect the exchange rate?,3 stars,0.3156118392944336
Where does the exchange rate stand right now?,1 star,0.2795703113079071
I'd like to know what the foreign exchange rate will be.,3 stars,0.3738478720188141
Does the exchange rate change?,3 stars,0.37631890177726746
How do your exchange rates factor in?,3 stars,0.2528477907180786
Will I know which exchange rate I will get?,3 stars,0.2744351029396057
How do I know what the exchange rate will be when I make an exchange.,5 stars,0.4225887358188629
Is the exchange rate the same on weekends as the weekdays?,3 stars,0.39183464646339417
How do you do exchanges?,5 stars,0.3422393500804901
On what do you base your exchange rates?,4 stars,0.2592014670372009
How do you come up with your exchange rate,5 stars,0.44410815834999084
What factors determine your exchange rate?,3 stars,0.27194327116012573
How are the exchange rates determined?,3 stars,0.3021920919418335
I would like to know what your exchange rates are.,3 stars,0.3761700987815857
Is the exchange rate current?,3 stars,0.3957352638244629
What are the exchange rates?,3 stars,0.27913638949394226
How much are the rates of exchange?,2 stars,0.3486676514148712
How do you decide what your exchange rates are?,3 stars,0.2510049641132355
Your exchange rates are coming from where?,1 star,0.2928324043750763
Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,2 stars,0.315755695104599
How are the exchange rates for transfers calculated?,3 stars,0.32893791794776917
How do I know how much money I will have when I travel abroad?,5 stars,0.25655877590179443
How do you do currency exchanges?,5 stars,0.2785884141921997
Can you explain your exchange rates basis?,3 stars,0.3130381405353546
How did you guys get your exchange rate?,1 star,0.2892216444015503
Can you tell me your exchange rates?,3 stars,0.27506887912750244
Could you tell me what your exchange rates are?,3 stars,0.26941484212875366
Does this app have the same exchange rate as third parties?,1 star,0.30802053213119507
what are your exchange rates at?,3 stars,0.2398570477962494
How is the current exchange rate?,3 stars,0.29793402552604675
What is the system for determining the exchange rate?,3 stars,0.3434889316558838
I am travelling and I was wondering what your exchange rates are,3 stars,0.2765364348888397
How can I tell what foreign exchange rate I will get?,5 stars,0.26524990797042847
Tell me your opinion on the exchange rate.,4 stars,0.3782649040222168
I'd like to know what you guys look at to decide an exchange rate,3 stars,0.335100919008255
How does the exchange rate work on this app?,3 stars,0.28711313009262085
where do you find your exchange rates?,3 stars,0.2492642104625702
I want to know your exchange rates.,4 stars,0.37857723236083984
What exchange rate is it?,3 stars,0.26993462443351746
What is the source of your exchange rates?,3 stars,0.25630390644073486
i need to know about exchange rates,3 stars,0.295377641916275
Where do you get those exchange rates?,1 star,0.2635464072227478
How do you determine the exchange rate?,3 stars,0.24195921421051025
What foreign exchange rate will I get?,1 star,0.26654377579689026
"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?",1 star,0.5743876099586487
"Hi, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me?",2 stars,0.43659600615501404
I think the currency exchange that's been applied is wrong.,2 stars,0.351693719625473
The exchange rate I was charged for a purchase was not right.,2 stars,0.3613576292991638
Can you please explain why the exchange rate for the item I bought is wrong?,1 star,0.4228314459323883
I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.,1 star,0.42525309324264526
My payment has an incorrect exchange rate.,1 star,0.46398189663887024
my exchange rate looks wrong for my last payment,1 star,0.4035172462463379
The exchange rate you are using is bad.This can't be the official interbank exchange rate.,1 star,0.5390029549598694
I was charged the wing amount for an item.,1 star,0.2661277949810028
the exchange rate on my payment was wrong,1 star,0.4607972800731659
Why is the exchange rate terrible?  That can't be close to the actual interbank rate.,1 star,0.5716452598571777
An incorrect exchange rate was applied to an item I bought.,1 star,0.6078658103942871
The exchange rate was incorrect for an item I bought.,1 star,0.43559977412223816
The exchange rate on my payment doesn't look right,2 stars,0.33467599749565125
"I just saw the exchange rate you use, but it's so bad that I can't believe that it's the official interbank exchange rate! Is this truly the official interbank exchange rate?",1 star,0.5737082958221436
This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,1 star,0.934748649597168
After purchasing an item I noticed the exchange rate was incorrect.,1 star,0.4585007131099701
The amount of exchange was not correct for the item i bought.,2 stars,0.41854429244995117
The exchange rate from my card payment isn't right.,2 stars,0.3882060945034027
My exchange rate isn't correct.,2 stars,0.4196270704269409
Why was the exchange rate so wrong when I bought something!,1 star,0.6629698872566223
My exchange rate was wrong for an Item I bought!,1 star,0.551601231098175
I was using a foreign currecy to make a payment and the applied the wrong rate.,1 star,0.5977080464363098
The exchange rate was incorrect for this item I bought.,1 star,0.5102009177207947
I purchased something overseas and the incorrect exchange rate was applied.,1 star,0.5755645632743835
The exchange rate is incorrect for my payment.,1 star,0.3634064197540283
The item i bought exchanged rate was incorrect.,1 star,0.5831783413887024
I'm on holiday and I noticed a different amount for exchange rate.  Can you explain?,3 stars,0.33002376556396484
I bought something in another country but the exchange rate is wrong,1 star,0.4132137596607208
I bought an item and the exchange rate was wrong.,1 star,0.6104770302772522
Exchange rate for my card payment is wrong,1 star,0.44924312829971313
the exchange rate at which my card payment is at is wrong,1 star,0.4573713541030884
There was a problem with the exchange rate on a purchase.,2 stars,0.41019997000694275
"I recently purchased something, and the exchange rate was wrong.",1 star,0.5217003226280212
What if there is an error on the exchange rate?,1 star,0.3489348888397217
Why is my exchange rate wrong?,1 star,0.4236999750137329
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,1 star,0.4963121712207794
I used foreign currency to buy something and I think the rate applied is incorrect.,1 star,0.5352101922035217
This exchange rate on my purchase is wrong.,1 star,0.5865044593811035
Why is your exchange rate so bad?,1 star,0.5153582096099854
The exchange rate looks wrong on a holiday purchase,1 star,0.45782363414764404
"I purchased something abroad, and the exchange rate that was applied was wrong.",1 star,0.5899617671966553
I bought something and I take issue with the exchange rate applied.,3 stars,0.2556816339492798
I think there has been a mistake on my exchange rate for this purchase.,2 stars,0.3242183029651642
You did not give me the correct exchange rate for an item that I bought.,1 star,0.45719069242477417
I checked on google and the exchange rate you are using is really bad. Can you update it?,1 star,0.6208909749984741
"I seem to have been charged to much for my holiday purchases, the exchange rate is wrong.",2 stars,0.44285035133361816
"In regards to my card payment, the exchange rate is incorrect.",1 star,0.33213871717453003
I bough an item and the exchange rate was incorrect.,1 star,0.6977387070655823
Why did you charge me more for my purchase? It was a foreign currency and you didn't offer market rate,1 star,0.5887272953987122
I question today's exchange rate for rubles into pounds. I was hoping for a better return.,2 stars,0.4173443913459778
