analysis_result,text,category,predicted_label,predicted_confidence,primary_label,cluster_confidence,confidence_difference,assigned_topic,cluster_topic,Topic
Model Error,"Ordered awhile back, what is the ETA in the US?",card_delivery_estimate,fiat_currency_support,0.300086617,fiat_currency_support,0.555010889,-0.254924272,new_card,exchange_rate_currency,Without
Model Error,Can I space out how often money is transferred along my travels?,automatic_top_up,balance_not_updated_after_bank_transfer,0.288992733,receiving_money,0.247143757,0.041848975,top_up,transactions,Without
Model Error,"Is there a top-up feature, if there isn't a lot of money left?",automatic_top_up,pending_top_up,0.752484202,pending_top_up,0.434406998,0.318077204,top_up,top_up,Within
Model Error,How do I unblock my card using the app?,card_not_working,pin_blocked,0.972311199,get_physical_card,0.952558277,0.019752922,card_malfunction,new_card,Without
Model Error,Where can I view my PIN?,pin_blocked,get_physical_card,0.973822832,get_physical_card,0.888287616,0.085535216,account_management,new_card,Without
Model Error,Will you reinstate my PIN?,pin_blocked,change_pin,0.784707785,change_pin,0.502687074,0.282020711,account_management,account_management,Within
Model Error,Can I reactivate my PIN?,pin_blocked,change_pin,0.576792419,change_pin,0.551568349,0.02522407,account_management,account_management,Within
Model Error,The NFC payment wouldn't work on the bus today. Help?,contactless_not_working,declined_card_payment,0.267035633,failed_transfer,0.432340028,-0.165304395,card_malfunction,transfers,Without
Model Error,I would like to refill my account using SWIFT.,top_up_by_bank_transfer_charge,top_up_by_cash_or_cheque,0.739932597,top_up_limits,0.473414093,0.266518503,top_up,top_up,Within
Model Error,"I've already topped up, but I cannot see the funds being available. What happened?",pending_top_up,top_up_reverted,0.884170294,top_up_failed,0.672532098,0.211638196,top_up,top_up,Within
Model Error,how long do money transfers take?,transfer_not_received_by_recipient,pending_transfer,0.866388917,transfer_timing,0.547431203,0.318957714,transfers,transfers,Within
Model Error,Can I get a copy of the card by email?,getting_virtual_card,order_physical_card,0.616886973,order_physical_card,0.436510914,0.18037606,virtual_disposable_cards,new_card,Without
Model Error,"Hi, i don't know what's going on i've just paid for my top up twice by accident can you help me get a refund please.",top_up_reverted,transaction_charged_twice,0.884984672,transaction_charged_twice,0.759284421,0.125700251,top_up,transactions,Without
Model Error,I put money into my account for the minimum balance but the application didn't accept.,top_up_reverted,declined_cash_withdrawal,0.715880156,declined_card_payment,0.300925997,0.414954158,top_up,card_malfunction,Without
Model Error,I tryed to make a top-up with cryptocurrency but the payment was referted.,top_up_reverted,beneficiary_not_allowed,0.291237831,beneficiary_not_allowed,0.574611207,-0.283373376,top_up,transfers,Without
Model Error,I have paid money into my account but it doesn't show.,balance_not_updated_after_cheque_or_cash_deposit,transfer_not_received_by_recipient,0.49028331,transfer_not_received_by_recipient,0.228104183,0.262179128,transactions,transfers,Without
Model Error,How do I set-up my PIN for the new card?,get_physical_card,change_pin,0.579431295,change_pin,0.509355095,0.0700762,new_card,account_management,Without
Model Error,Are there any hindrances to using a disposable virtual card?,disposable_card_limits,get_disposable_virtual_card,0.664744616,virtual_card_not_working,0.39115131,0.273593306,virtual_disposable_cards,virtual_disposable_cards,Within
Model Error,What can I use a virtual disposable card for?,disposable_card_limits,get_disposable_virtual_card,0.929357111,getting_virtual_card,0.733139849,0.196217263,virtual_disposable_cards,virtual_disposable_cards,Within
Model Error,"If I feel someone has my card information, can I get a new card?",compromised_card,order_physical_card,0.387075365,order_physical_card,0.243486139,0.143589226,new_card,new_card,Within
Model Error,Can I use app to freeze my card and dispute fraud?,compromised_card,card_payment_not_recognised,0.552020431,card_payment_not_recognised,0.3984282,0.15359223,new_card,card_payment,Without
Model Error,someone stole my money,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,0.883776724,cash_withdrawal_not_recognised,0.573538102,0.310238622,card_payment,atm_cash_withdrawal,Without
Model Error,Someone has taken my money and I don't know who,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,0.924548388,cash_withdrawal_not_recognised,0.523611394,0.400936993,card_payment,atm_cash_withdrawal,Without
Model Error,I was charged on my account that shouldn't be there.,direct_debit_payment_not_recognised,card_payment_fee_charged,0.292235762,card_payment_fee_charged,0.259138197,0.033097565,card_payment,card_payment,Within
Model Error,"How can I fix my card, it got declined twice.",declined_transfer,declined_card_payment,0.350626349,transaction_charged_twice,0.422946899,-0.072320549,transfers,transactions,Without
Model Error,The card got declined twice when I tried to use it to buy something online yesterday.,declined_transfer,declined_card_payment,0.470067114,transaction_charged_twice,0.384816847,0.085250266,transfers,transactions,Without
Model Error,How do I contact customer support about a transfer?,declined_transfer,receiving_money,0.625664175,receiving_money,0.529330065,0.09633411,transfers,transactions,Without
Model Error,Trouble transferring transaction contact for help,declined_transfer,beneficiary_not_allowed,0.696713448,beneficiary_not_allowed,0.342740061,0.353973387,transfers,transfers,Within
Model Error,Double check your funds may be declined,declined_transfer,top_up_by_cash_or_cheque,0.651674271,balance_not_updated_after_cheque_or_cash_deposit,0.382307705,0.269366566,transfers,transactions,Without
Model Error,How do you fix  my card payment?,declined_card_payment,reverted_card_payment?,0.524751246,reverted_card_payment?,0.347636238,0.177115008,card_malfunction,card_payment,Without
Model Error,When will my transfer go through?,pending_transfer,failed_transfer,0.590757012,failed_transfer,0.515255369,0.075501643,transfers,transfers,Within
Model Error,How do I retrieve my card from the machine?,card_swallowed,order_physical_card,0.209684089,order_physical_card,0.293090527,-0.083406438,atm_cash_withdrawal,new_card,Without
Model Error,I was contacted by a seller with a message that they never received my money. I am 100% sure it was taken from my account so I definitely need this sorted out soon.,reverted_card_payment?,Refund_not_showing_up,0.384071589,Refund_not_showing_up,0.426925631,-0.042854042,card_payment,transactions,Without
Model Error,"Why did I get charged for something I bought online? Even though it was international, I thought it would be covered.",transfer_fee_charged,card_payment_fee_charged,0.398525178,exchange_charge,0.231140293,0.167384885,transfers,exchange_rate_currency,Without
Model Error,What are your policies for card transfers?,failed_transfer,transfer_into_account,0.138376132,getting_spare_card,0.335398402,-0.19702227,transfers,virtual_disposable_cards,Without
Model Error,What is stopping my money from transferring?,failed_transfer,beneficiary_not_allowed,0.869260669,beneficiary_not_allowed,0.366416516,0.502844152,transfers,transfers,Within
Model Error,"I'm out of money, can I add money with my bank?",transfer_into_account,top_up_by_cash_or_cheque,0.401557624,topping_up_by_card,0.285359089,0.116198535,transfers,top_up,Without
Model Error,Can I purchase extra non-virtual cards?,getting_spare_card,get_disposable_virtual_card,0.617457926,getting_virtual_card,0.651481703,-0.034023777,virtual_disposable_cards,virtual_disposable_cards,Within
Model Error,What type of deposits do you accept into my account?,top_up_by_cash_or_cheque,transfer_into_account,0.488421947,transfer_into_account,0.169437406,0.318984541,top_up,transfers,Without
Model Error,What can I pay with? Does cash work?,top_up_by_cash_or_cheque,cash_withdrawal_charge,0.371041298,atm_support,0.275837106,0.095204192,top_up,atm_cash_withdrawal,Without
Model Error,how do VR cards work,get_disposable_virtual_card,getting_virtual_card,0.374893367,card_linking,0.408820069,-0.033926702,virtual_disposable_cards,new_card,Without
Model Error,My funding to my card didn't go through.,top_up_failed,declined_card_payment,0.930184841,declined_card_payment,0.52891871,0.401266131,top_up,card_malfunction,Without
Model Error,My transfer is pending.,balance_not_updated_after_bank_transfer,pending_transfer,0.963071704,transfer_timing,0.799503608,0.163568096,transfers,transfers,Within
Model Error,"If I want to exchange currency, will there be extras?",exchange_charge,exchange_via_app,0.943656087,exchange_via_app,0.505912339,0.437743748,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,Is there a way to know when my card will arrive?,card_arrival,card_delivery_estimate,0.944849491,card_delivery_estimate,0.967297161,-0.02244767,new_card,new_card,Within
Mislabeled,When will I get my card?,card_arrival,card_delivery_estimate,0.967208624,card_delivery_estimate,0.976990845,-0.009782222,new_card,new_card,Within
Mislabeled,How long does a card delivery take?,card_arrival,card_delivery_estimate,0.967351377,card_delivery_estimate,0.946507739,0.020843638,new_card,new_card,Within
Mislabeled,How do I know when my card will arrive?,card_arrival,card_delivery_estimate,0.965850294,card_delivery_estimate,0.971397205,-0.005546912,new_card,new_card,Within
Mislabeled,Is it a good time to exchange?,exchange_rate,exchange_via_app,0.88830179,exchange_via_app,0.626267416,0.262034374,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,How can I check the exchange rate applied to my transaction?,card_payment_wrong_exchange_rate,exchange_rate,0.357621491,exchange_rate,0.435072584,-0.077451093,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,Where did this fee come from?,extra_charge_on_statement,card_payment_fee_charged,0.9649719,card_payment_fee_charged,0.616606207,0.348365693,transactions,card_payment,Without
Mislabeled,My account was charged for a withdraw I tried to make that was decline.,pending_cash_withdrawal,declined_cash_withdrawal,0.960456431,declined_cash_withdrawal,0.335260628,0.625195803,atm_cash_withdrawal,atm_cash_withdrawal,Within
Mislabeled,How do I change currencies to euros?,fiat_currency_support,exchange_via_app,0.941125154,exchange_via_app,0.496509242,0.444615912,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,Am I able to exchange currencies?,fiat_currency_support,exchange_via_app,0.97560209,exchange_via_app,0.712345729,0.263256361,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,Can I exchange currencies?,fiat_currency_support,exchange_via_app,0.960763991,exchange_via_app,0.520957631,0.43980636,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,What countries can I travel to and have access to their currencies?,fiat_currency_support,country_support,0.917220891,country_support,0.618606394,0.298614496,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,Can I change my currency from USD to EUR?,exchange_via_app,fiat_currency_support,0.969311535,fiat_currency_support,0.574009912,0.395301623,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,Is a copy of the police report necessary for completing the report process?,lost_or_stolen_card,verify_my_identity,0.622261465,verify_my_identity,0.87421469,-0.251953226,new_card,identity_verification,Without
Mislabeled,"Someone stole my wallet earlier today, not sure exactly when, probably on Piccadilly circus. Can you check if there were any attempts to use the card and obviously block it?",lost_or_stolen_card,cash_withdrawal_not_recognised,0.953414917,cash_withdrawal_not_recognised,0.475327578,0.478087339,new_card,atm_cash_withdrawal,Without
Mislabeled,"How do I reset my PIN, I can't seem to use my card?",pin_blocked,change_pin,0.95333302,change_pin,0.602346662,0.350986358,account_management,account_management,Within
Mislabeled,"My account is blocked, how do I log in now",pin_blocked,terminate_account,0.632445216,terminate_account,0.479144519,0.153300697,account_management,account_management,Within
Mislabeled,How do I reset my PIN?,pin_blocked,change_pin,0.976184845,change_pin,0.880486528,0.095698316,account_management,account_management,Within
Mislabeled,"My card's frozen, what can I do?",pin_blocked,card_not_working,0.951752007,card_not_working,0.735155434,0.216596573,account_management,card_malfunction,Without
Mislabeled,My contanctless has stopped working,contactless_not_working,card_not_working,0.549497366,card_not_working,0.454861166,0.0946362,card_malfunction,card_malfunction,Within
Mislabeled,"I need to make a transfer, what will the fee be?",top_up_by_bank_transfer_charge,transfer_fee_charged,0.647001624,transfer_fee_charged,0.47391098,0.173090644,top_up,transfers,Without
Mislabeled,Will a transfer incur a fee?,top_up_by_bank_transfer_charge,transfer_fee_charged,0.904012918,transfer_fee_charged,0.593771829,0.310241089,top_up,transfers,Without
Mislabeled,What are the fees for top-ups?,top_up_by_bank_transfer_charge,top_up_by_card_charge,0.969275773,top_up_by_card_charge,0.728234562,0.241041211,top_up,top_up,Within
Mislabeled,"OMG!  I'm trying to load my card and it wont top up!  I desperately need the money either on my card or in my bank, where is it?",pending_top_up,topping_up_by_card,0.349086553,topping_up_by_card,0.404676703,-0.05559015,top_up,top_up,Within
Mislabeled,Can I change the amount I made on a payment that I made to the payment is correct.,cancel_transfer,card_payment_wrong_exchange_rate,0.302474499,card_payment_wrong_exchange_rate,0.339686457,-0.037211958,transfers,exchange_rate_currency,Without
Mislabeled,Am I free to top-up as much as I want?,top_up_limits,top_up_by_card_charge,0.877866268,top_up_by_card_charge,0.524960447,0.352905821,top_up,top_up,Within
Mislabeled,Where is the money I pushed it's on my mobile app as being withdrawn.,wrong_amount_of_cash_received,cash_withdrawal_not_recognised,0.564422667,cash_withdrawal_not_recognised,0.339928453,0.224494214,atm_cash_withdrawal,atm_cash_withdrawal,Within
Mislabeled,My cash withdrawal was partly declined,wrong_amount_of_cash_received,declined_cash_withdrawal,0.977043688,declined_cash_withdrawal,0.336055057,0.640988632,atm_cash_withdrawal,atm_cash_withdrawal,Within
Mislabeled,Will declined funds I tried to withdraw be returned to me?,wrong_amount_of_cash_received,declined_cash_withdrawal,0.976724386,declined_cash_withdrawal,0.454616708,0.522107678,atm_cash_withdrawal,atm_cash_withdrawal,Within
Mislabeled,im not sure what this charge is for,card_payment_fee_charged,direct_debit_payment_not_recognised,0.97164917,direct_debit_payment_not_recognised,0.628059375,0.343589794,card_payment,card_payment,Within
Mislabeled,Where is the transfer I started?,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,0.855865657,balance_not_updated_after_bank_transfer,0.417393735,0.438471922,transfers,transfers,Within
Mislabeled,transaction failed?,transfer_not_received_by_recipient,failed_transfer,0.954180598,failed_transfer,0.837990038,0.11619056,transfers,transfers,Within
Mislabeled,I transferred some money but the receiver can't pick it up for some reason.,transfer_not_received_by_recipient,transfer_fee_charged,0.389690459,transfer_fee_charged,0.362168487,0.027521972,transfers,transfers,Within
Mislabeled,When will my funds transfer?,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,0.93185842,balance_not_updated_after_bank_transfer,0.423659331,0.508199089,transfers,transfers,Within
Mislabeled,Which forms of currency are accepted?,supported_cards_and_currencies,fiat_currency_support,0.699490249,fiat_currency_support,0.356995836,0.342494414,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,What options do I have in regards to payment?,supported_cards_and_currencies,receiving_money,0.250589371,receiving_money,0.312858712,-0.062269342,exchange_rate_currency,transactions,Without
Mislabeled,Do you accept other currencies besides US Dollars?,supported_cards_and_currencies,fiat_currency_support,0.928876042,fiat_currency_support,0.410329237,0.518546805,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,Can I use my card for payment all over the world?,card_acceptance,country_support,0.622243404,country_support,0.438860123,0.183383281,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,"I am traveling to Germany, Will I be able to use my card there?",card_acceptance,country_support,0.8903566,country_support,0.669190794,0.221165806,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,areas card is accpeted,card_acceptance,country_support,0.379444629,country_support,0.44588816,-0.066443531,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,"My top-up showed as complete, but it's no longer there! What's going on here?",top_up_reverted,pending_top_up,0.648778677,pending_top_up,0.564632903,0.084145774,top_up,top_up,Within
Mislabeled,The app wouldn't accept my top up.,top_up_reverted,top_up_failed,0.973720968,top_up_failed,0.74801027,0.225710698,top_up,top_up,Within
Mislabeled,"I believe my money did not go through with my top up, was there a problem on your end?",top_up_reverted,top_up_failed,0.77933228,top_up_failed,0.767190557,0.012141723,top_up,top_up,Within
Mislabeled,On my last transaction it seem that my top-up was not successful.,top_up_reverted,top_up_failed,0.949668527,top_up_failed,0.681656053,0.268012473,top_up,top_up,Within
Mislabeled,The balance on my account wasn't updated after I made a depost.,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,0.769602656,balance_not_updated_after_bank_transfer,0.55658728,0.213015377,transactions,transfers,Without
Mislabeled,Can you freeze my account?  I just saw there are transactions on my account that I don't recognize.  How can I fix this?,card_payment_not_recognised,compromised_card,0.931159794,compromised_card,0.439630824,0.49152897,card_payment,new_card,Without
Mislabeled,What should I do to get transactions off of my account if I didn't make them?  My card must have been compromised and I need to freeze it asap!,card_payment_not_recognised,compromised_card,0.944862485,compromised_card,0.493699279,0.451163206,card_payment,new_card,Without
Mislabeled,I won't verify my identity.,why_verify_identity,unable_to_verify_identity,0.931833148,unable_to_verify_identity,0.542016642,0.389816506,identity_verification,identity_verification,Within
Mislabeled,What other methods are there to verify my identity?,why_verify_identity,verify_my_identity,0.952460825,verify_my_identity,0.967664388,-0.015203563,identity_verification,identity_verification,Within
Mislabeled,What do i need to verify my id?,unable_to_verify_identity,verify_my_identity,0.955170274,verify_my_identity,0.97131822,-0.016147946,identity_verification,identity_verification,Within
Mislabeled,Am I allowed to use any card to make a payment?,visa_or_mastercard,card_acceptance,0.401457191,card_acceptance,0.392691647,0.008765543,card_info,exchange_rate_currency,Without
Mislabeled,What are the available cards?,visa_or_mastercard,getting_spare_card,0.562713623,getting_spare_card,0.339428964,0.223284659,card_info,virtual_disposable_cards,Without
Mislabeled,What major card payments are accepted?,visa_or_mastercard,supported_cards_and_currencies,0.88488239,supported_cards_and_currencies,0.368345421,0.516536969,card_info,exchange_rate_currency,Without
Mislabeled,Can I top up using my car?,topping_up_by_card,top_up_limits,0.481315821,top_up_limits,0.37664174,0.104674081,top_up,top_up,Within
Mislabeled,Where's the money that got charged to my card? It's not showing up in my account balance,topping_up_by_card,transfer_not_received_by_recipient,0.780982733,transfer_not_received_by_recipient,0.417180527,0.363802206,top_up,transfers,Without
Mislabeled,"I did a top-up, but I'm not seeing it in my wallet yet.",topping_up_by_card,pending_top_up,0.335355669,pending_top_up,0.277936645,0.057419024,top_up,top_up,Within
Mislabeled,"i know i entered the right info, but my top up isn't in my balance",topping_up_by_card,pending_top_up,0.61904496,pending_top_up,0.314795031,0.304249929,top_up,top_up,Within
Mislabeled,Is there a way to transfer funds directly from my card?,topping_up_by_card,card_linking,0.210411265,card_linking,0.324392217,-0.113980951,top_up,new_card,Without
Mislabeled,Why is my money gone right when I attempted to top up,topping_up_by_card,top_up_failed,0.634920478,top_up_failed,0.664314126,-0.029393648,top_up,top_up,Within
Mislabeled,Why can't I see the top-up amount I just added to my account?,topping_up_by_card,pending_top_up,0.956881702,pending_top_up,0.550513229,0.406368473,top_up,top_up,Within
Mislabeled,What is the maximum number of transactions I can make with one card?,disposable_card_limits,getting_spare_card,0.949462473,getting_spare_card,0.599303515,0.350158958,virtual_disposable_cards,virtual_disposable_cards,Within
Mislabeled,How can I create many temporary cards daily?,disposable_card_limits,getting_spare_card,0.929332554,getting_spare_card,0.520361593,0.408970961,virtual_disposable_cards,virtual_disposable_cards,Within
Mislabeled,How many virtual cards do I get?,disposable_card_limits,getting_virtual_card,0.9509027,getting_virtual_card,0.93939629,0.01150641,virtual_disposable_cards,virtual_disposable_cards,Within
Mislabeled,"I think my identity has been stolen, can you check on unauthorized charges?",compromised_card,unable_to_verify_identity,0.322922409,unable_to_verify_identity,0.239403961,0.083518447,new_card,identity_verification,Without
Mislabeled,Can I use app to freeze account and dispute fraud?,compromised_card,direct_debit_payment_not_recognised,0.578387737,direct_debit_payment_not_recognised,0.371014828,0.207372909,new_card,card_payment,Without
Mislabeled,"im so mad right now. theres several charges that I think my x boyfriend made on my card. the companys on the website wouldn't refund me my money, they told me to contact my bank. DO something please.",direct_debit_payment_not_recognised,transaction_charged_twice,0.47430712,transaction_charged_twice,0.327003589,0.14730353,card_payment,transactions,Without
Mislabeled,There is a transaction from my account that I don't recognize can you trace back the information so I can make sure it's something I did or not?,direct_debit_payment_not_recognised,card_payment_not_recognised,0.503256977,card_payment_not_recognised,0.440205162,0.063051814,card_payment,card_payment,Within
Mislabeled,Why has my payment not gone through?,pending_card_payment,declined_card_payment,0.894755721,declined_card_payment,0.494719575,0.400036146,card_payment,card_malfunction,Without
Mislabeled,"I was double charged, and the second charge is showing as ""pending"". How long will it be before I get my money back once the second charge has been refunded?",pending_card_payment,transaction_charged_twice,0.974154353,transaction_charged_twice,0.974125987,2.84e-05,card_payment,transactions,Without
Mislabeled,Someone stole my cards!,lost_or_stolen_phone,lost_or_stolen_card,0.805357575,lost_or_stolen_card,0.521640775,0.2837168,account_management,new_card,Without
Mislabeled,Good morning. I tried to make a purchase with my credit card last night and again this morning. Both times it was declined. Can you investigate?,declined_transfer,declined_card_payment,0.453353286,declined_card_payment,0.361623379,0.091729907,transfers,card_malfunction,Without
Mislabeled,Why was I unable to do a transfer?,declined_transfer,failed_transfer,0.939891636,failed_transfer,0.884312491,0.055579145,transfers,transfers,Within
Mislabeled,When I try and to buy something using my card it keeps getting declined.,declined_transfer,declined_card_payment,0.964001179,declined_card_payment,0.58469438,0.379306799,transfers,card_malfunction,Without
Mislabeled,I can't transfer money from my account.,declined_transfer,failed_transfer,0.92861712,failed_transfer,0.645422832,0.283194288,transfers,transfers,Within
Mislabeled,My card is being declined online. Could you tell me what might be broken or wrong with the account?,declined_transfer,declined_card_payment,0.828704834,declined_card_payment,0.495216153,0.333488681,transfers,card_malfunction,Without
Mislabeled,"I was attempting to purchase a golf club off eBay yesterday, but my credit card was declined. I tried multiple times, and again this morning. Can you check into my card please?",declined_transfer,card_not_working,0.319923103,card_not_working,0.279105719,0.040817384,transfers,card_malfunction,Without
Mislabeled,My credit card was declined.,declined_card_payment,top_up_failed,0.748468399,card_not_working,0.401856203,0.346612196,card_malfunction,card_malfunction,Within
Mislabeled,"I transferred money yesterday, but it still isn't available?",pending_transfer,transfer_not_received_by_recipient,0.550403655,transfer_not_received_by_recipient,0.43543969,0.114963965,transfers,transfers,Within
Mislabeled,How long do transfer pend for?,pending_transfer,transfer_timing,0.443383574,transfer_timing,0.660759839,-0.217376265,transfers,transfers,Within
Mislabeled,When will the transfer go through?,pending_transfer,transfer_not_received_by_recipient,0.702909529,transfer_not_received_by_recipient,0.362700049,0.340209481,transfers,transfers,Within
Mislabeled,"I would like to know why my payment is still pending, can you help?",pending_transfer,pending_card_payment,0.978091002,pending_card_payment,0.890565092,0.08752591,transfers,card_payment,Without
Mislabeled,Someone transferred money to me and it doesn't show,pending_transfer,transfer_not_received_by_recipient,0.540055513,transfer_not_received_by_recipient,0.432575141,0.107480373,transfers,transfers,Within
Mislabeled,How long can I expect a transfer to pend for?,pending_transfer,transfer_timing,0.720275998,transfer_timing,0.736172432,-0.015896434,transfers,transfers,Within
Mislabeled,how long dies it take for transfers to reflect on my balance,transfer_timing,balance_not_updated_after_bank_transfer,0.705765903,balance_not_updated_after_bank_transfer,0.509420652,0.196345251,transfers,transfers,Within
Mislabeled,When does the money get transferred to my account,transfer_timing,balance_not_updated_after_bank_transfer,0.898245037,balance_not_updated_after_bank_transfer,0.389538073,0.508706963,transfers,transfers,Within
Mislabeled,I'm not sure why my account has been refunded a payment for an item I've already received about 2 weeks ago. Can you please tell me what is going on?,reverted_card_payment?,Refund_not_showing_up,0.718704343,Refund_not_showing_up,0.481225283,0.237479059,card_payment,transactions,Without
Mislabeled,My card is being declined for a purchase. I bought items before and the card worked. Do you know what the problem is?,reverted_card_payment?,declined_card_payment,0.935383677,declined_card_payment,0.519682361,0.415701317,card_payment,card_malfunction,Without
Mislabeled,why did the app refuse to make an approved payment,reverted_card_payment?,declined_card_payment,0.85593003,declined_card_payment,0.479433904,0.376496127,card_payment,card_malfunction,Without
Mislabeled,"I am attempting to make a purchase online, but my card is not working.  I know there are funds available, is this an issue on the banks end?",reverted_card_payment?,declined_card_payment,0.54462564,declined_card_payment,0.528566307,0.016059333,card_payment,card_malfunction,Without
Mislabeled,I've tried numerous times to submit a transfer of funds. Why isn't it going through?,beneficiary_not_allowed,failed_transfer,0.861623704,failed_transfer,0.79657652,0.065047185,transfers,transfers,Within
Mislabeled,I tried to transfer money but it said it wasn't possible? I've done this before and it worked why isn't it working now?,beneficiary_not_allowed,failed_transfer,0.919672847,failed_transfer,0.635712728,0.283960119,transfers,transfers,Within
Mislabeled,Why isn't my transfer going through? I get a message saying it's not possible. I've had no issues in the past.,beneficiary_not_allowed,failed_transfer,0.648963332,failed_transfer,0.548459121,0.100504211,transfers,transfers,Within
Mislabeled,The account transfer I was trying to do failed.,beneficiary_not_allowed,failed_transfer,0.872537434,failed_transfer,0.590182778,0.282354656,transfers,transfers,Within
Mislabeled,What extra charges are there?,transfer_fee_charged,extra_charge_on_statement,0.499397814,extra_charge_on_statement,0.363721801,0.135676014,transfers,transactions,Without
Mislabeled,Is GBP a supported currency?,receiving_money,fiat_currency_support,0.588665903,fiat_currency_support,0.265613177,0.323052726,transactions,exchange_rate_currency,Without
Mislabeled,"I don't understand how to top up my account, can you please explain the process?",transfer_into_account,topping_up_by_card,0.682464421,topping_up_by_card,0.42950916,0.252955261,transfers,top_up,Without
Mislabeled,How do I top up my card?,transfer_into_account,topping_up_by_card,0.947411537,topping_up_by_card,0.642843821,0.304567716,transfers,top_up,Without
Mislabeled,What methods can I use to add money to my account?,transfer_into_account,topping_up_by_card,0.587787271,topping_up_by_card,0.323033274,0.264753997,transfers,top_up,Without
Mislabeled,How can I top-up my card?,top_up_by_cash_or_cheque,topping_up_by_card,0.862873435,topping_up_by_card,0.42255703,0.440316405,top_up,top_up,Within
Mislabeled,How much does it cost in fees to use your card?,order_physical_card,card_payment_fee_charged,0.959581733,card_payment_fee_charged,0.662282094,0.297299639,new_card,card_payment,Without
Mislabeled,can I have a non virtual card?,order_physical_card,getting_virtual_card,0.549778104,getting_virtual_card,0.764688747,-0.214910643,new_card,virtual_disposable_cards,Without
Mislabeled,My non-physical card will not work,virtual_card_not_working,card_not_working,0.965674222,card_not_working,0.642891367,0.322782855,virtual_disposable_cards,card_malfunction,Without
Mislabeled,My card is just not working at this time.,virtual_card_not_working,card_not_working,0.96674937,card_not_working,0.738594925,0.228154445,virtual_disposable_cards,card_malfunction,Without
Mislabeled,Is there a fee for exchanging cash?,wrong_exchange_rate_for_cash_withdrawal,exchange_charge,0.84324789,exchange_charge,0.423915885,0.419332006,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,Will there be additional costs of I make a withdrawal from a local ATM of British pounds? I need some cash to feel comfortable on the journey home,wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,0.808808625,cash_withdrawal_charge,0.331079878,0.477728746,exchange_rate_currency,atm_cash_withdrawal,Without
